group,candidate,region_or_source,Li_mg_L,TDS_mg_L,Na_mg_L,K_mg_L,Mg_mg_L,Ca_mg_L,Sr_mg_L,Ba_mg_L,B_mg_L,Br_mg_L,REE_status,source_id,source_status,notes,Na_Li_mass_ratio,Mg_Li_mass_ratio,Ca_Li_mass_ratio,Divalent_Li_mass_ratio
produced water,Smackover AR low observed,Southern Arkansas Smackover,11.7,156000,37100.0,351.0,2250.0,13900.0,907.0,7.47,47.5,1650.0,not reported in clean local source set,Local_Smackover_clean_rows,source-backed local clean row,Unfavorable clean Smackover bound; low Li but complete major-ion context.,3170.9401709401714,192.30769230769232,1188.0341880341882,1458.5017094017096
produced water,Smackover AR MS-2 base,Southern Arkansas Smackover,168.0,305000,64100.0,2300.0,3310.0,36900.0,1940.0,8.39,163.0,2700.0,not reported in clean local source set,Local_Smackover_clean_rows,source-backed local clean row,"Base produced-water candidate: high Li, high TDS, high Ca/Sr pretreatment burden.",381.54761904761904,19.702380952380953,219.64285714285714,250.9427976190476
produced water,Smackover AR high observed,Southern Arkansas Smackover,252.0,340000,70800.0,3160.0,3130.0,39900.0,2490.0,26.1,212.0,5510.0,not reported in clean local source set,Local_Smackover_clean_rows,source-backed local clean row,Highest Li and TDS clean Smackover row in the local set.,280.95238095238096,12.420634920634921,158.33333333333334,180.73849206349206
produced water,Marcellus NE PA median,Appalachian Basin / Marcellus,205.0,100000,,,1000.0,,,,,,not emphasized in source; produced-water database may contain trace data,Mackey_2024_Marcellus,peer-reviewed regional median,High Li and low Mg/Li relative to SW PA; TDS shown as literature lower-bound class.,,4.878048780487805,,4.878048780487805
produced water,Marcellus SW PA median,Appalachian Basin / Marcellus,127.0,100000,,,2300.0,,,,,,not emphasized in source; produced-water database may contain trace data,Mackey_2024_Marcellus,peer-reviewed regional median,Lower Li and higher Mg/Li than NE PA but larger produced-water volume per well.,,18.11023622047244,,18.11023622047244
produced water,Bakken high-Li county signal,Williston Basin / Bakken,103.0,258193,79415.0,11730.0,,,1631.66,,,,REE recovery discussed; specific REE values not used here,Jakaria_2025_Bakken,peer-reviewed article; mixed figure/table extraction,"High salinity, high Na, high Sr/Rb; Li from highest reported county average.",771.0194174757281,,,15.841359223300971
produced water,Permian Delaware typical,Permian Basin / Delaware,12.0,71600,,,,,,,,,trace critical minerals possible; not a strong Li case,Permian_valorization_2026,peer-reviewed article; public abstract/snippet values,High water volume and treatment relevance; lower Li grade than Smackover/Marcellus.,,,,0.0
produced water,Permian Midland typical,Permian Basin / Midland,20.0,122000,,,,,,,,,trace critical minerals possible; not a strong Li case,Permian_valorization_2026,peer-reviewed article; public abstract/snippet values,Midland Li range is above Delaware but still low for DES/TOPO flagship screening.,,,,0.0
geothermal brine,Salton Sea wellhead synthetic A,Imperial Valley geothermal,208.20000000000002,300000,52876.4687,16812.269,36.457499999999996,27653.820000000003,,,,,critical metals possible; REE not central in cited test,Salton_Nature_2025,peer-reviewed synthetic brine converted from mM,"High Li and very high Ca/K/Na; geothermal, not produced water.",253.96959029779055,0.1751080691642651,132.82334293948128,132.99845100864553
geothermal brine,Salton Sea Simbol synthetic B,Imperial Valley geothermal,291.48,300000,71268.2839,21113.082000000002,,42883.46000000001,,,,,critical metals possible; Fe/Mn are explicit competitors,Salton_Nature_2025,peer-reviewed synthetic brine converted from mM,High Li and extreme Ca/Na plus Fe/Mn in original test; not the produced-water focus.,244.50488506930145,,147.12316453959107,147.12316453959107
salar brine,Salar de Atacama core,Chile salar,1500.0,250000,,,,,,,850.0,,not treated as REE brine; Li/B/K resource context,USGS_Lithium_brines_2015,USGS/global literature screening value,"Benchmark high-grade salar; useful comparator, not produced water.",,,,0.0
salar brine,Salar de Uyuni typical,Bolivia salar,550.0,250000,,,,,,,,,not treated as REE brine,USGS_Lithium_brines_2015,literature screening range midpoint,High Li but generally more Mg/process difficulty than Atacama.,,,,0.0
seawater,Open ocean seawater,global seawater,0.17,35000,10770.0,399.0,1290.0,412.0,8.0,0.03,4.5,65.0,REE ultra-trace; not a practical DES/TOPO target,USGS_Lithium_brines_2015,screening reference,Useful lower-bound comparator; Li is too dilute for this case-study solvent train.,63352.94117647058,7588.235294117647,2423.529411764706,10059.0
model brine,Rezaee Iran-source synthetic,southern Iran source-model brine,40.2,276000,47705.2,2610.1,2811.6,755.4,63.17,,58.32,,not reported,Rezaee_2025_RSM,peer-reviewed model-brine experiment,Direct solvent benchmark: 90 wt pct DES plus 10 wt pct TOPO gave 51.63 pct Li extraction from the synthetic brine.,1186.6965174129352,69.94029850746269,18.791044776119403,90.30273631840795
